x_idx,y_idx,T,qx,qy
19,74,0.371554,5.87413e-05,0.000924241
19,75,0.365989,6.10413e-05,0.000926422
19,76,0.360409,6.33802e-05,0.000928855
19,77,0.354814,6.57419e-05,0.000931567
19,78,0.349202,6.81051e-05,0.000934586
19,79,0.343571,7.0443e-05,0.00093794
19,80,0.337919,7.27221e-05,0.000941659
19,81,0.332243,7.49012e-05,0.000945771
19,82,0.326541,7.69309e-05,0.000950302
19,83,0.32081,7.87523e-05,0.000955273
19,84,0.315048,8.02966e-05,0.0009607
19,85,0.309253,8.14847e-05,0.000966592
19,86,0.30342,8.22279e-05,0.000972943
19,87,0.297548,8.24283e-05,0.000979734
19,88,0.291634,8.19812e-05,0.000986928
19,89,0.285675,8.07783e-05,0.000994463
19,90,0.27967,7.87125e-05,0.00100225
19,91,0.273618,7.56836e-05,0.00101019
19,92,0.267517,7.16065e-05,0.00101812
19,93,0.26137,6.64198e-05,0.00102588
19,94,0.255176,6.00947e-05,0.00103327
19,95,0.24894,5.26443e-05,0.00104009
19,96,0.242664,4.413e-05,0.00104611
19,97,0.236355,3.4666e-05,0.00105113
19,98,0.23002,2.44184e-05,0.00105496
19,99,0.223665,1.35999e-05,0.00105745
19,100,0.244462,0.0427837,-0.0464759
20,0,0.755635,0.042762,-0.046499
20,1,0.776672,-1.08348e-05,0.00101566
20,2,0.770569,-1.948e-05,0.00101333
20,3,0.764483,-2.75653e-05,0.00100976
20,4,0.758422,-3.48879e-05,0.0010051
20,5,0.752392,-4.12915e-05,0.00099955
20,6,0.746398,-4.66717e-05,0.000993307
20,7,0.740443,-5.09764e-05,0.000986585
20,8,0.734529,-5.42017e-05,0.00097959
20,9,0.728658,-5.63847e-05,0.000972511
20,10,0.72283,-5.75947e-05,0.000965512
20,11,0.717043,-5.79236e-05,0.000958728
20,12,0.711296,-5.74774e-05,0.000952264
20,13,0.705587,-5.63676e-05,0.000946197
20,14,0.699913,-5.47059e-05,0.000940577
20,15,0.694271,-5.25987e-05,0.000935435
20,16,0.688659,-5.01443e-05,0.000930778
20,17,0.683074,-4.74307e-05,0.000926602
20,18,0.677512,-4.45349e-05,0.000922892
20,19,0.671971,-4.15227e-05,0.000919623
20,20,0.666448,-3.84493e-05,0.000916765
20,21,0.660942,-3.53598e-05,0.000914288
20,22,0.655449,-3.22903e-05,0.000912157
20,23,0.649968,-2.92693e-05,0.000910339
20,24,0.644498,-2.63183e-05,0.000908801
20,25,0.639035,-2.34531e-05,0.000907514
20,26,0.63358,-2.06848e-05,0.000906447
20,27,0.628131,-1.80206e-05,0.000905575
20,28,0.622686,-1.54643e-05,0.000904872
20,29,0.617245,-1.30173e-05,0.000904318
20,30,0.611807,-1.06791e-05,0.000903893
20,31,0.606371,-8.44744e-06,0.000903578
20,32,0.600937,-6.31894e-06,0.000903358
20,33,0.595503,-4.28937e-06,0.000903221
20,34,0.590071,-2.35383e-06,0.000903154
20,35,0.584638,-5.07016e-07,0.000903146
20,36,0.579206,1.25668e-06,0.000903189
20,37,0.573773,2.94304e-06,0.000903274
20,38,0.568339,4.55788e-06,0.000903396
20,39,0.562905,6.10706e-06,0.000903549
20,40,0.55747,7.59637e-06,0.000903727
20,41,0.552033,9.03151e-06,0.000903928
20,42,0.546595,1.04181e-05,0.000904147
20,43,0.541156,1.17616e-05,0.000904382
20,44,0.535715,1.30673e-05,0.000904632
20,45,0.530273,1.43406e-05,0.000904894
20,46,0.524829,1.55864e-05,0.000905168
20,47,0.519384,1.68097e-05,0.000905452
20,48,0.513937,1.80154e-05,0.000905747
20,49,0.508488,1.92082e-05,0.000906053
20,50,0.503037,2.03927e-05,0.00090637
20,51,0.497584,2.15736e-05,0.0009067
20,52,0.492129,2.27553e-05,0.000907043
20,53,0.486672,2.39421e-05,0.000907401
20,54,0.481213,2.51385e-05,0.000907776
20,55,0.475752,2.63486e-05,0.00090817
20,56,0.470288,2.75769e-05,0.000908586
20,57,0.464821,2.88273e-05,0.000909027
20,58,0.459352,3.0104e-05,0.000909497
20,59,0.45388,3.1411e-05,0.000909999
20,60,0.448405,3.27523e-05,0.000910539
20,61,0.442926,3.41316e-05,0.000911121
20,62,0.437444,3.55527e-05,0.000911751
20,63,0.431958,3.70189e-05,0.000912437
20,64,0.426467,3.85336e-05,0.000913185
20,65,0.420972,4.00996e-05,0.000914003
20,66,0.415472,4.17194e-05,0.0009149
20,67,0.409966,4.3395e-05,0.000915887
20,68,0.404453,4.51275e-05,0.000916975
20,69,0.398934,4.69176e-05,0.000918176
20,70,0.393408,4.87647e-05,0.000919503
20,71,0.387872,5.06668e-05,0.000920973
20,72,0.382328,5.26207e-05,0.000922601
20,73,0.376773,5.46209e-05,0.000924404
20,74,0.371207,5.666e-05,0.000926403
20,75,0.365629,5.87275e-05,0.000928617
20,76,0.360036,6.08099e-05,0.000931068
20,77,0.354428,6.28899e-05,0.000933778
20,78,0.348802,6.49454e-05,0.000936771
20,79,0.343158,6.69497e-05,0.00094007
20,80,0.337493,6.88698e-05,0.000943696
20,81,0.331805,7.06666e-05,0.000947671
20,82,0.326092,7.22937e-05,0.000952013
20,83,0.320352,7.36973e-05,0.000956734
20,84,0.314582,7.48159e-05,0.000961842
20,85,0.308781,7.55802e-05,0.000967336
20,86,0.302945,7.59139e-05,0.000973203
20,87,0.297073,7.57352e-05,0.000979419
20,88,0.291162,7.49584e-05,0.000985941
20,89,0.285212,7.34971e-05,0.00099271
20,90,0.27922,7.12684e-05,0.000999644
20,91,0.273186,6.81979e-05,0.00100664
20,92,0.26711,6.42254e-05,0.00101358
20,93,0.260993,5.9312e-05,0.00102031
20,94,0.254836,5.34462e-05,0.00102667
20,95,0.248642,4.66502e-05,0.00103249
20,96,0.242415,3.89842e-05,0.00103761
20,97,0.23616,3.05485e-05,0.00104185
20,98,0.229882,2.14823e-05,0.00104508
20,99,0.223588,1.19591e-05,0.00104717
20,100,0.244446,0.0427807,-0.0464833
21,0,0.755646,0.0427603,-0.046505
21,1,0.776733,-9.2932e-06,0.0010075
21,2,0.770677,-1.67447e-05,0.00100556
21,3,0.764636,-2.37506e-05,0.00100258
21,4,0.758616,-3.0146e-05,0.000998677
21,5,0.752623,-3.58005e-05,0.000993997
21,6,0.746659,-4.06224e-05,0.0009887
21,7,0.740729,-4.45599e-05,0.000982957
21,8,0.734834,-4.75989e-05,0.000976932
21,9,0.728976,-4.97583e-05,0.000970781
21,10,0.723155,-5.10839e-05,0.000964643
21,11,0.717371,-5.1642e-05,0.000958635
21,12,0.711623,-5.1512e-05,0.000952852
21,13,0.705908,-5.0781e-05,0.000947368
21,14,0.700226,-4.95384e-05,0.000942233
21,15,0.694573,-4.78715e-05,0.000937481
